Word, Meaning, Sentence
सौहार्द, Cordiality, यह सौर एक धार्मक सौहार्द का रूप हौ।
मन्नत, A vow in exchange of a desire, बेगम ने अपनी मन्नत पूरी की।
सिलसिला, Continuation, यह सिलसिला अभी तक जारी हौ।
वध, kill, श्री कृष्ण ने योगमाया का वध कर दिया था
शीश, head, आपके शीश पर चोट लगी है।
पिंडी, rocks as manifestation of a goddess, वह महाकाल की पिंडी है
मंडी, market, फूलवाली मंडी महल के पास लगती है। 
झील, lake,  झील का पानी यहाँ तक आता है।
भेंट, offering, भगवान् के लिए आपने क्या भेंट लाये हो?
प्रस्तुति, presentation, लोक नृत्य प्रस्तुति लाजवाब थी।
गरुड़, Eagle, भारत के वायुसेना का गरुड़ कॉमंडी आया है। 
झिड़की लगाई, scolded angrily, मां को परेशान कर रहा था तो उन्होंने मुझपे झिड़की लगाई।
उभर, emerge, उसका चित्र मेरे दिमाग में उभर रहा था।
संपर्क, contact, बाहर जाने पर हमसे संपर्क में रहोगे न?
साहस, courage, मेरे बुरे गुण बताने के बाद उसने मुझे बहुत साहस दी।
उबर, recover, मुझे नहीं पता इस बीमारी से में कब उबर पाऊंगा।
सलाह, advice, में आपको कुछ सलाह दू क्या?
सहायता, help, में आपकी सहायता कर सकता हु।
शुभकामनाएं, best wishes, आपके जन्मदिन की खूब शुभकामनाएं।
तहे दिल से, whole heartedly, मैं आपको तहे दिल से चाहता हु।
भाग्यशाली, lucky, मैं बहुत भाग्यशाली हूँ।
लक्षण, symptoms, इस बीमारी के लक्षण थोड़े दिन में दिखाई देंगे।
कष्टदायक, painful, यह तन्हाई काफी कष्टदायक है। 
अनुसंधान, research, आपके स्कूल का अनुसंधान कैसा चल रहा है। 
योजनाबद्ध, schematic, यह संघ ने बहु ही योजनाबद्ध तरीके से काम किया।
खुराख, dosage, दिए गए खुराक को ग्रहण करें।
परीक्षण, test, आपके चिकित्सा परीक्षण का क्या नतीजा था?
अनुमति, permission, आपको बात करने की अनुमति है।
तनाव, stress, मुझ पर परीक्षा का काफी तनाव है।
बुनियादी, basic, यहाँ संकल्पना को बुनियादी दृष्टिकोण से समझाता हु।
संकल्पना, concept, मैं इस भौतिक संकल्पना को समझने की कोशिश कर रहा हु। 
कठोर, harsh, अपने आप पर इतने कठोर क्यों हो आप ?
असंतुष्ट, dissatisfied, अपने ज़िन्दगी से मैं काफी असंतुष्ट हु।
अनावश्यक, unnecessary, इतना श्रम अनावश्यक है।
कसरत, exercise, हर रोज़ कसरत करना अच्छा है। 
आंकना, assess, आपके जवाब अभी आंके जा रहे है।
गंभीर, serious, अपनी पढ़ाई को लेकर गंभीर हो जाओ। 
प्रियजन, loved one, अपने प्रियजनों से बात करते हो क्या?
रोगियों, patient, मेरे पापा रोगियों की देखभाल करते है। 
संवेदना, sympathy, मुझमे हर एक छात्र के प्रति संवेदना है।
क्रोध, anger, उनके ओर आप इतना क्रोध क्यों रखते हो?
लेशमात्र, trace, अपने अपराध का लेशमात्र भी नहीं रहने दिया।
कुंजी, key, उसके दिल की कुंजी हु मैं।
पड़ाव, stop, मेरे पढाई में एक बड़ा पड़ाव आया है।
सिरे, ends, एक नए सिरे से शुरू करते है।
